"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","temp_psych"
"long","short","long","It's wrong and I can provide a valid reason.",171,1,1,"Female",33,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",181,3,1,"Male",42,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",148,1,1,"Female",28,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long",NA,NA,5,NA,"Male",26,"not wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control_long"
"long","short","long",NA,NA,4,NA,"Female",46,"not wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",168,7,1,"Female",52,"not wrong","wrong","wrong","wrong","wrong","wrong",TRUE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long",NA,NA,1,NA,"Female",49,"wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",146,1,2,"Female",24,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",168,2,2,"Female",64,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,7,NA,"Female",28,"not wrong","not wrong","not wrong","not wrong","wrong",NA,FALSE,FALSE,FALSE,TRUE,NA,"control_long"
"long","short","long","There is nothing wrong.",206,6,6,"Male",37,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,NA,"Female",30,"wrong","wrong","wrong","wrong","wrong",NA,FALSE,FALSE,FALSE,FALSE,NA,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",124,1,1,"Male",51,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long",NA,NA,4,NA,"Male",25,"not wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control_long"
"long","short","long","It's wrong but I can't think of a reason.",NA,2,1,"Male",27,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",NA,4,7,"Male",19,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
