"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","temp_psych"
"short","short","long","It's wrong and I can provide a valid reason.",218,2,1,"Male",25,"short_long"
"short","short","long","There is nothing wrong.",169,4,4,"Female",43,"short_long"
"short","short","long","There is nothing wrong.",177,7,7,"Male",24,"short_long"
"short","short","long","There is nothing wrong.",157,6,6,"Female",39,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",175,1,1,"Female",41,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",165,4,1,"Female",36,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",150,4,4,"Male",36,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",29,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",191,1,1,"Male",27,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",114,2,1,"Female",30,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",196,1,1,"Female",40,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",172,1,1,"Female",32,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",172,1,1,"Female",45,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",NA,2,2,"Male",23,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",NA,5,2,"Male",47,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",149,1,1,"Female",43,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",32,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",178,3,2,"Female",69,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",117,2,2,"Female",41,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",164,1,1,"Male",35,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",210,1,1,"Male",55,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",NA,4,4,"Male",26,"short_long"
"short","short","long","There is nothing wrong.",156,7,7,"Male",36,"short_long"
"short","short","long","There is nothing wrong.",NA,7,7,"Female",25,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",209,2,5,"Female",35,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",204,1,1,"Male",29,"short_long"
"short","short","long","There is nothing wrong.",136,6,6,"Male",27,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",144,1,1,"Female",46,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",168,1,1,"Female",24,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",177,1,1,"Female",38,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",130,1,1,"Female",27,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",174,1,1,"Female",32,"short_long"
"long","long","long","It's wrong but I can't think of a reason.",200,1,1,"Female",68,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",168,3,3,"Female",25,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",193,1,1,"Male",56,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",178,1,1,"Female",47,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",158,2,2,"Female",65,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",162,1,2,"Female",34,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",152,1,1,"Female",31,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",187,1,1,"Female",23,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",170,1,1,"Female",65,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",191,5,4,"Male",22,"long_long"
"long","long","long","There is nothing wrong.",156,7,7,"Male",63,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",159,1,1,"Female",56,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,1,1,"Male",41,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",129,3,2,"Female",28,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",144,1,2,"Female",23,"long_long"
"long","long","long","There is nothing wrong.",168,4,4,"Female",51,"long_long"
"long","long","long","There is nothing wrong.",NA,1,1,"Female",42,"long_long"
"long","long","long","There is nothing wrong.",147,7,7,"Male",29,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",184,1,1,"Female",31,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",179,1,2,"Male",26,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",210,1,1,"Female",23,"long_long"
"long","long","long","There is nothing wrong.",NA,7,7,"Male",25,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",167,1,1,"Male",42,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,1,1,"Male",67,"long_long"
"long","long","long","There is nothing wrong.",134,7,7,"Female",63,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",182,2,1,"Male",49,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",131,1,1,"Male",26,"long_long"
"long","long","long","There is nothing wrong.",112,5,5,"Male",31,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,1,1,"Male",48,"long_long"
"long","long","long","There is nothing wrong.",181,4,5,"Male",36,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",161,1,3,"Male",49,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",250,1,1,"Male",46,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",167,1,1,"Female",44,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",157,2,2,"Male",46,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",149,1,1,"Female",41,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",129,1,1,"Male",32,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",178,1,1,"Male",50,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",63,"long_long"
"long","long","long","There is nothing wrong.",159,7,7,"Male",34,"long_long"
"short","short","short","It's wrong and I can provide a valid reason.",NA,1,3,"Female",58,"short_short"
"short","short","short","It's wrong but I can't think of a reason.",187,2,2,"Male",28,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",178,1,2,"Female",22,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",207,1,1,"Female",45,"short_short"
"short","short","short","There is nothing wrong.",NA,4,4,"Male",50,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",156,1,2,"Female",61,"short_short"
